participant_id,participant,experiment,exp_group,sex,age,stimulus,logdice,stim_code,source_code,source_type,is_drm,response,accuracy,rt,log_rt,rt_valid,list_num,word_num,list_half,interval,verbalization,interval_label,verbalization_label
Попова_д_2,2,Попова_д,EG2,m,32,кровать,8.25259696598966,1,1,self,0,1,1,0.538,-0.6198967188203526,True,4,1,1,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,ночь,10.1215986928889,1,0,partner,0,0,1,1.498,0.40413088509502776,True,4,2,1,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,отдых,9.12925617768409,1,1,self,0,1,1,1.28,0.2468600779315258,True,4,3,1,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,тепло,7.4062808344878,1,0,partner,0,0,1,0.988,-0.012072581234269249,True,4,4,1,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,подушка,8.08357910262921,1,1,self,0,1,1,0.67,-0.40047756659712525,True,4,5,1,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,мечта,8.53225956218292,1,0,partner,0,0,1,4.416,1.4852343089747944,True,4,6,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,одеяло,7.97281954156205,1,1,self,0,0,0,1.251,0.223943231484774,True,4,7,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,темнота,7.32271009353237,1,0,partner,0,1,0,0.897,-0.10869941692334091,True,4,8,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,звезды,6.94809137023272,1,1,self,0,0,0,0.668,-0.40346710544549125,True,4,9,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,мягкость,,1,0,partner,0,0,1,0.647,-0.43540898448123644,True,4,10,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,сон,,2,2,drm,1,1,0,0.875,-0.13353139262452263,True,4,0,0,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,стол,10.6634501952256,1,1,self,0,1,1,1.255,0.22713557258374711,True,5,1,1,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,деревянный,9.16404389830872,1,0,partner,0,0,1,1.975,0.6805683983530852,True,5,2,1,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,сидеть,10.1439467163498,1,1,self,0,0,0,0.346,-1.0613165039244128,True,5,3,1,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,кресло,9.98036401761074,1,0,partner,0,1,0,0.763,-0.27049724769768,True,5,4,1,1,0,delayed,no_verb
